Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
The Chocolate Heaven,"Italian,Desserts,Beverages,Snacks",4.1,500,Bhelupur,Bhelupur,"B-27/92, C-1-B, Plot 65 A, First Floor, Ravindrapuri Colony, Bhelupur, Varanasi",False,0
Donut Boss,"Bakery,Fast Food",NA,250,IIT,IIT,"N8/251 E A ,Nevada Sundarpur ,Varanasi. 221005",False,0
The Cakes Villa,Bakery,NA,300,Nadesar,Nadesar,"araji no 1272, mauja khajuri,Infront Of Police Chowki, Pandeypur, Varanasi",False,0
Delicacies of China by Manya,"Chinese,Snacks",NA,350,Nadesar,Nadesar,"Sudhakar Road Khajuri, near post office, Pandeypur, Varanasi",False,0
MILKSHAKE JUNCTION,Beverages,NA,200,Lanka,Lanka,"B8/24 Bada Gambhir Singh, Sonarpura ,  Bag Hadha, Nagar Nigam Food Safety  Zone-12, Varanasi, Uttar Pradesh - 221001",True,0
SHIV ANNAPURNA RESTAURANT AND BAKERS,"North Indian,South Indian,Chinese,Pizzas",NA,250,Nadesar,Nadesar,S 9/84 PANDEYPUR VARANASI NAGAR NIGAM FOOD SAFETY ZONE -2 VARANASI UTTAR PRADESH -221002,True,0
Swad Restaurant,"South Indian,North Indian,Beverages",2.9,200,Bhojuveer,Nadesar,"Ground Floor, J.S. Complex, Opposite To Dr. SB Singh, Near Sadar Tehsil Bhojubeer, Nadesar, Varanasi",False,0
Kashi Restaurant,"Chinese,North Indian,South Indian",NA,200,Bangali Tola,Lanka,"B 6/10 SONARPURA, BANGALITOLA NEAR SHAHARA OFFICE, VARANASI",True,0
Aahaar Fast Food Court & Restaurant,"South Indian,Chinese",NA,300,Lanka,Lanka,"B 23/41Padampuri Colony, Gandhi Chowk,Khojawan, Varanasi, Uttar Pradesh 221010, India",False,0
Paramshree family restaurant,"Chinese,Pastas",NA,300,Nadesar,Nadesar,"Pandeypur, Varanasi, Uttar Pradesh, India",True,0
Hazelnut,"Bakery,Desserts,Fast Food",NA,250,IIT,IIT,"N8/251 E A ,Nevada Sundarpur ,Varanasi.221005",False,0
BANARAS CAFE AND RESTAURANT,"Snacks,Waffle",NA,300,Naibasti,pandeypur,pandeypur police chauki near by allahabaad bank,False,0
Maharaj Fast Food,"North Indian,Indian,Chinese,Beverages,Biryani",3.6,350,Chotta Chuppepur,Mahmoorganj,"Gilat Bajar, Badi Maszid, shivpur road, Varanasi",False,0
Chulha Chowka,"North Indian,South Indian",NA,200,Bisweshwarganj,Near Kal bhairo temple,"K  42/36  Bhaironath,  Varanasi,- 221001",False,0
Burger bomb,Burgers,NA,200,Lanka,Lanka,"N14/115, SARAINANDAN, khojawan,  VARANASI, Chhitupur, Mahmoorganj,  Varanasi, Uttar Pradesh, , Bazardiha,  Nagar Nigam Food Safety Zone-18,  Varanasi, Uttar Pradesh - 221010",False,0
TASTY DOTS,"Chinese,Snacks,Fast Food,Beverages",NA,250,Lanka,Lanka,"B8/24 Bada Gambhir Singh, Sonarpura ,  Bag Hadha, Nagar Nigam Food Safety  Zone-12, Varanasi, Uttar Pradesh - 221001",True,0
Chopped Chilli,"Chinese,North Indian,Burgers",NA,250,Nadesar,Nadesar,S10/244 hukulganj daitraveer mandir varanasi,True,0
BANARAS BURGER CAFE,"Burgers,Fast Food,Pizzas,Snacks",NA,200,Lanka,Lanka,"N14/115, SARAINANDAN, khojawan,  VARANASI, Chhitupur, Mahmoorganj,  Varanasi, Uttar Pradesh, , Bazardiha,  Nagar Nigam Food Safety Zone-18,  Varanasi, Uttar Pradesh - 221010",False,0
